id,group,claim,minted,corpus,instrument,metric_units,kind,real_check,verdict,note
L020,C. extraction head / paper,E-graph extraction with the static table is worth ~2× over not extracting (static/noswap 0.5440 / 0.5444 / 0.5437 / 0.5433 across four runs),"paper §5.2, §9; journal geomean_static_noswap",DEV 784/1120 synthetic,"bench_extraction_3way (tile mode, 64 tuples, 8-point grid)",geomean ns ratio incl. call overhead,synthetic,"F (docs/results/2026-09-07-egraph-off-vs-on-real-shaders.md) measures a DIFFERENT decomposition — PIXELFLOW_SATURATION off vs on, with a cse-only arm and a with-select-hoist arm beside it, not extraction-with-the-static-table vs not-extracting. Nothing in F produces L020's static/noswap ratio on a real kernel; the decomposition this row names remains unmeasured on real.",NEVER TESTED ON REAL,"The single most-quoted number in the program. VERDICT CORRECTED 2026-09-08 (round 1): F landed (docs/results/2026-09-07-egraph-off-vs-on-real-shaders.md, glyph32 aggregate time -18.6% and -20.8% in two rounds, 90/95 glyphs faster) but its arms are PIXELFLOW_SATURATION off vs on, not extraction-vs-not, so the verdict was left unchanged pending the attribution breakdown. VERDICT CORRECTED 2026-09-08 (round 2, per open-thread-decisions.md #7): reclassified to FAILED, on attribution — this was a mistake: F's breakdown (cse-only arm carries -41% of the -44% byte reduction; rules-beyond-CSE move it only ≈-4%; the pre-hash-consed shader_bench ports show extraction-with-the-table worth -0.5% bytes / -4.8% dag_cost) is a DIFFERENT decomposition (saturation off/on) than L020's own claim (extraction-with-table vs not-extracting). VERDICT CORRECTED 2026-09-08 (round 3): back to NEVER TESTED ON REAL. F's numbers are kept here as context (glyph32 -18.6%/-20.8%, 90/95 faster, cse-only carrying most of it), but nothing in F is a measurement of L020's specific ratio on a real kernel — that decomposition remains unmeasured on real."
L021,C. extraction head / paper,"Incrementality fails at extraction: median edge-multiset delta 44.9% (p25 17.6%, p75 100%); O(delta) update buys ~2x not ~50x; 2,323 rebuilds / 0 deltas from code-path instrumentation (the incremental API is called only from unit tests, per the cited notes) — not a production trace",docs/plans/2026-08-17-egraph-vsa-nnue-research-notes.md §4; paper §5.6,synthetic corpus (unnamed size in paper),accumulator instrumentation,% edge multiset symmetric difference,synthetic,n/a,NEVER TESTED ON REAL,Architecture retired anyway (#1093).
L022,C. extraction head / paper,The additive objective is nearly solved exactly by DP over the table; what remains is a non-additive residual at the noise floor,paper §6,DEV synthetic,"argument from rho + DP exactness (over TREE cost, paper's own caveat)",n/a,synthetic,"2026-09-02-extraction-gap: tree vs DAG is 95% of the proved gap; julia_set tree 1.4e7 vs DAG 716; horner-vs-estrin: additivity holds at AVX-512 (slope 1.03) and fails at SSE2 (2.51x); chrome: 3.6x came from schedule, not the DAG",FAILED,"The premise 'DP already optimizes the objective' was false in the objective's own units until #1192, and the additivity premise is ISA-dependent."
L023,C. extraction head / paper,84% of paired decisions are smaller than their kernel's repeat spread (61% IQR-based); median |delta| 2.5%,paper §6,D2a per-kernel records (uncommitted),bench_extraction_3way repeats,% of kernels,synthetic,n/a,INSTRUMENT DEFECT,Upper bound on an unresolved fraction; the per-kernel rows are not in the repository (NUMBERS.md reproduction debt).
L024,C. extraction head / paper,NNUE extraction overhead: median 192.6 us vs 14.0 us static (~14x); means 5.36 ms vs 92 us; Round 3 3.60 ms vs 83.7 us (~43x),paper §5.2; D2a/D3,DEV 784,bench_extraction_3way policy_prepared,microseconds,synthetic,n/a,NEVER TESTED ON REAL,Per-kernel artifacts uncommitted; head deleted by #1093 so moot.
L025,C. extraction head / paper,Four of the first five end-to-end runs were invalidated by the harness's own gates,paper §4.4; journal,DEV,gate pipeline,count,synthetic,n/a,HELD,A fact about the method that survives every re-unit.
L026,C. extraction head / paper,"Corpus tiers TRAIN 3359 / DEV 784 / FINAL 129 (17 named + 112 band-12); quarantine 52/4324 (1.203%), 0 miscompiles; the serialized corpus_final.bin was never consumed — but the SEMANTIC hold-out was: the 12 ShaderToy kernels are FINAL members (training/split.rs:1023-1030) and JP opened them for the 2026-09-01 rule-order measurement",paper §3; capstone mint 2026-08-27,gen_bench_corpus --target 4000 --seed 42,gen_bench_corpus quarantine,counts,synthetic,FINAL still never opened as of 2026-09-07,HELD,"Compound row, split deliberately: the tier counts and the file-level non-consumption are HELD; the hold-out property is NOT, and a later claim validating rule order on held-out FINAL kernels must draw on a fresh set (2026-09-01-rule-order-real-kernels.md:17-23, merged as #1188)."
L027,D. Guide scoping 2026-08-30/31,Oracle headroom: median expression needs 38.2% of its applications under the labeler bound (2.6x) and 2.9% under the strict bound (34x); pooled 0.7188 / 0.0014,docs/results/2026-08-30-guide-headroom.md; plan 2026-08-31-guide-design-revision.md §2.1,"800 stride-sampled of 7,992 (corpus_train+dev, --target 8000 seed 42)",guide_headroom (saturate_with_limits 100 iters/10k classes/60 s),fraction of rule applications (count); extraction = latency_prior TREE DP,synthetic,"2026-09-01-production-saturation-telemetry: real kernels fire median 8,446 apps (85x the registered B) and lose median 8.66% at the class cap; headroom never expressed on a real kernel",NEVER TESTED ON REAL,Counts are unit-safe; the 'load-bearing' label depends on which extraction the tree DP chose (pre-#1192).
L028,D. Guide scoping 2026-08-30/31,Labeler and strict bounds correlate only moderately per rule: ρ ≈ 0.19-0.35 across two draws of 800 (sampling variance); earlier draft's ρ 0.02 was an uncomputed error,docs/results/2026-08-30-guide-headroom.md (2026-09-01 revision),same 800,guide_headroom per_rule JSON,Spearman ρ,synthetic,tightened-labeler re-draw on a different 800: ρ 0.186,NEVER TESTED ON REAL,"VERDICT CORRECTED 2026-09-08 (round 1, per open-thread-decisions.md #5): two draws give 0.35 and 0.186 on the *same* synthetic computation — sampling variance, not a broken instrument, so INSTRUMENT DEFECT was the wrong label; noisy, not wrong. VERDICT CORRECTED 2026-09-08 (round 2, per decisions doc #5): this ledger has five verdicts and no sixth for 'noisy'. Both draws are on a synthetic 800-kernel corpus (kind=synthetic) and neither ever touched a shipped kernel, so by this document's own definition the row is NEVER TESTED ON REAL, not HELD — moving it to HELD on the strength of two mutually-consistent synthetic re-runs conflated 'reproducible' with 'tested on a real shader'."
L029,D. Guide scoping 2026-08-30/31,"Structural rules (commutative, fma-fusion, distribute, assoc) score 63-84% under the labeler and ~0% strict; numeric rules 6-17% under both",docs/results/2026-08-30-guide-headroom.md; paper §9,same 800,guide_headroom,% of firings (count),synthetic,n/a,NEVER TESTED ON REAL,Qualitative split reproduced by the tightened-labeler run; still synthetic-only.
L030,D. Guide scoping 2026-08-30/31,Saturation incrementality holds: 91.1% of applications are zero-delta re-fires; state-changing median edge-delta 0.14% (~728x); 90.4% of scored candidates commit nothing,docs/results/2026-08-30-guide-scope-saturation-delta.md (revised twice); paper §5.6/§9,"corpus_dev.bin 1,512 expressions",guide_scope_saturation_delta (batched production algorithm),% of applications; edge fraction,synthetic,strict-label blind-spot note: 91% no-ops also on the sh family (still synthetic),NEVER TESTED ON REAL,First draft's headline numbers were from a single-stepping harness and did not match the code; revised numbers are what stands.
L031,D. Guide scoping 2026-08-30/31,"Oracle-filtered budget curves: no regret anywhere (all 2,250 rows 0.0000) — inconclusive",docs/results/2026-08-30-oracle-filtered-budget-curves.md,"220 synthetic (10 bands, seed 20260830) + 5 named shaders",oracle_filtered_budget_curves (fraction grid),regret % on TREE cost,synthetic,superseded 09-01 and 09-02,INSTRUMENT DEFECT,Checkpoint grid sampled after 97.8% of runs had ended; class cap not scaled per checkpoint (59/225 rows over cap); tree units.
L032,D. Guide scoping 2026-08-30/31,Perfect rule-level oracle keeps median 3 / 7 / 24 of 62 rules (blitz/rapid/classical),docs/results/2026-08-30-oracle-filtered-budget-curves.md,220 synthetic + 5 shaders,hindsight labeler on final extraction,rule count,synthetic,09-02 re-run: 3 / 7 / 22 on min-cost checkpoint,NEVER TESTED ON REAL,Stable across re-runs; never derived from a real glyph or scene kernel.
L033,E. Phase 3 Round 1 (2026-09-01),"Unguided truncation loss: classical median 48.5% at B=100, 21.9% at B=200 vs own 4B state; zero on rapid/blitz",docs/results/2026-09-01-phase3-unguided-baseline.md; docs/plans/2026-09-01-phase3-registration.md §3,"400 of 4,143 TRAIN+DEV (188 classical)",anytime.rs run_anytime_curve (sweep-granularity budget),% of ExtractedDAG::total_cost = TREE cost,synthetic,09-02 DAG re-run of the budget curves: tree-cost regret 94.9% at B=100 becomes 43.2% on DAG and decays an order of magnitude slower (29% at B=800),UNITS INVALID,The registered B=100/200 and Y=16.3%/9.0% were derived from these tree numbers.
L034,E. Phase 3 Round 1 (2026-09-01),Registered claim: Guide at B=100 reaches median ratio <= 0.837 (Y=16.3%); at B=200 <= 0.910 (Y=9.0%),docs/plans/2026-09-01-phase3-registration.md §5-§6,classical band of gen_bench_corpus,n/a (registration),ratio of TREE cost,synthetic,"production telemetry: production fires median 1,671 (synthetic) / 8,446 (real) apps — 'the registered budget is not the regime production runs in' (registration §9)",UNITS INVALID,Constants port as-is and are 'not re-derivable' under dag_cost (instrument-changes banner).
L035,E. Phase 3 Round 1 (2026-09-01),The Guide saves 16%+ at budget: LinearCandidateGuide median ratio 0.537 at B=100 and 0.696 at B=200 on DEV; control 0.565 / 0.699; both clauses HOLD,docs/results/2026-09-01-phase3-at-budget-eval-report.md; registration §9,DEV 334 classical,"phase3_at_budget_eval, guide_checkpoint_strict_v1",ratio of TREE cost (extract_dag total_cost),synthetic,guided-regression-bisect 2026-09-02: the same rows priced as DAG are 0.6528 (linear) — and on the sh family the tree 0.90 is DAG 1.10; on real kernels the Guide has never been run,UNITS INVALID,The 'Guide saved 16%' headline is a tree-cost number; the DAG reading is a smaller DEV win and a loss on every structured family.
L036,E. Phase 3 Round 1 (2026-09-01),"Linear Guide beats a per-rule lookup: DEV AUC 0.9902 vs 0.9368, PR-AUC 0.4595 vs 0.1083 (REAL GAP +0.0535)",docs/results/2026-09-01-control-guide-comparison.md; 2026-09-01-train-guide-report.md,"strict_labels_dev 155,231 samples (incl. 93.4% dedup_repeat rows)",train_guide,AUC-ROC / PR-AUC,synthetic,n/a,INSTRUMENT DEFECT,"Banner: predates the 09-02 review fixes (dedup rows now excluded, AP ties grouped) — 'every weight and metric below changes'; never re-run."
L037,E. Phase 3 Round 1 (2026-09-01),Enabler starvation: 82.9% of numeric strict-positive applications have a structural rule in their ancestry; guided arms still reach 83.6-83.9% of them,docs/results/2026-09-01-phase3-at-budget-eval-report.md,DEV 334 classical,EnablerDiag over provenance,% (count),synthetic,n/a,NEVER TESTED ON REAL,Count-based; depends on tree-DP extraction path for 'strict-positive'.
L038,F. Phase 3 Round 1b / 2 / R2G / bilinear,"Domain shift is H_null: on sh at B=100 D_control +0.337, D_linear +0.367 (diff -0.030 < M=0.06); bezier shifts by the same +0.34, so the shift is regime not trig",docs/results/2026-09-01-phase3-round1b-domain-shift.md,"DEV 334 + sh 95 + bezier 80 (generated families, corpus_dev_ood 0c7cbe71)",phase3_at_budget_eval,ratio of TREE cost,synthetic (structured family sh/bezier),bisect 2026-09-02: the sh ratio 0.90 (tree) is 1.098/1.114 (DAG) on the same rows — every guided arm LOSES to unguided on trig-structured kernels,UNITS INVALID,"The verdict compared two arms that both lose on the real metric; sh/bezier are generator families, not shipped shaders."
L039,F. Phase 3 Round 1b / 2 / R2G / bilinear,half-angle-product pays on sh (32-37% strict precision in the first 100 apps); pythagorean fires 231 times on 19 sh exprs and is strict-positive 0/231,docs/results/2026-09-01-phase3-round1b-domain-shift.md §trig diagnostic,sh 95,per-rule firing histograms,counts,synthetic (structured family sh/bezier),blind-spot note confirms mechanism (memo-hit RHS mints nothing),HELD,Count-based mechanism finding; reproduced exactly by the recount.
L040,F. Phase 3 Round 1b / 2 / R2G / bilinear,"The strict label cannot see constant-output rewrites (pythagorean 0/231 minted; identity 0/35,387; annihilator 0/176); crediting by output class would over-credit identity 0 -> 8,981",docs/results/2026-09-01-strict-label-constant-output-blindspot.md,"sh 100 (1,854,839 applications) + 5 pinned fixtures",strict_label_output_class_recount; labeler.rs tests,counts,synthetic (structured family sh/bezier),n/a,HELD,Pinned by tests; deliberately not fixed per JP ruling.
L041,F. Phase 3 Round 1b / 2 / R2G / bilinear,Tightened labeler sits between loose and strict: medians 0.379 / 0.194 / 0.031 (2.64x / 5.15x / 32x); structural class 78.8% -> 7.9% -> 0.02%; tight-vs-strict rho 0.441,docs/results/2026-09-01-tightened-labeler-rank.md,"800 stride-sampled of 4,143",tightened_labeler_rank,fraction of applications; Spearman,synthetic,n/a,INSTRUMENT DEFECT,"Banner: predates review fixes (name-pooled vectors, non-quiescent replays excluded, canonicalized ids) — 'all three move the numbers below'; not re-run."
L042,F. Phase 3 Round 1b / 2 / R2G / bilinear,Round 2 v2: unguided regret U falls as |R| grows (rho -0.90 to -1.00); H1 FAILS decisively,docs/results/2026-09-01-round2-unguided-vs-rulecount-v2.md; journal phase3_round2v2,"400 sample, 188 classical; rule sets dup/comp/new 93-248","anytime curves, Interleave order",regret % of TREE cost,synthetic,n/a,UNITS INVALID,v3 showed the reading was an order confound; tree units besides.
L043,F. Phase 3 Round 1b / 2 / R2G / bilinear,"Round 2 v3: with order held fixed the |R| effect is null-to-adverse (dilution); the ORDER effect dominates — base 96.58% regret at B=100, shuffles 26-46%, numeric-first 1.12%",docs/results/2026-09-01-round2-unguided-vs-rulecount-v3.md; registration v3,188 classical synthetic,anytime curves; OrderMatchedBase,regret % of TREE cost,synthetic,"rule-order-real-kernels (branch): median production-regime ratio 0.9702 on 204 real kernels; anytime regret 21.8% -> 18.6% at B=100, not 96.6% -> 1.1%; psychedelic 1.0444 WORSE",FAILED,The 86x-on-synthetics headline (96.58/1.12) shrank to ~3% on real kernels and reversed on the one real trig shader. Also tree units.
L044,F. Phase 3 Round 1b / 2 / R2G / bilinear,R2G dataset gate fires: 67.2% of TRAIN classical expressions have zero return spread at B=100 (68.0% DEV; 0% sh; 25% bezier),docs/results/2026-09-01-r2g-dataset.md; -r2g-trajectory-mint-full.md,677 TRAIN / 691 DEV / 100 sh / 80 bezier; 12 policies each,r2g mint,return = ln(cost/c*) on TREE cost,synthetic,n/a,UNITS INVALID,Return labels are differences of tree costs; whether the finding survives dag units is an open question the instrument banner names.
L045,F. Phase 3 Round 1b / 2 / R2G / bilinear,"Return-to-go Guide: Claim B FAILS (Spearman -0.004 vs leave-one-out delta; strict bound 0.389, per-rule 0.182); Claim A fails on sh (0.9084 vs < 0.8439); model does not fit above the zero floor (0.7047 vs 0.7054)",docs/results/2026-09-01-guide-return-to-go.md; counterfactual-credit.md,"30 sh + 30 DEV, 1,095 applications; ladder DEV 334 / sh 95 / bezier 80",counterfactual_credit; phase3_at_budget_eval,Spearman; ratio of TREE cost,synthetic (structured family sh/bezier),n/a,UNITS INVALID,Negative result; 'the target was not the bottleneck'. Delta is a tree-cost difference.
L046,F. Phase 3 Round 1b / 2 / R2G / bilinear,Regime-restricted R2G (101-1000 nodes): Spearman vs multi-mask delta 0.249; strict 0.725; leave-one-out confluence blindness 7.6% of zeros become positive,docs/results/2026-09-01-guide-r2g-spread-first.md; counterfactual-credit-multimask.md,"40 sh + 60 DEV, 3,000 applications",counterfactual_credit multi-mask,Spearman; TREE cost delta,synthetic (structured family sh/bezier),n/a,UNITS INVALID,Same unit caveat; head-to-head r2g vs strict 70/119/19 on DEV band.
L047,F. Phase 3 Round 1b / 2 / R2G / bilinear,Bilinear Guide: H_form-null (D_linear - D_bilinear on sh +0.0234 / +0.0345 inside M); 222 distinct rule orders vs 1; on sh EVERY guided arm is 1.09-1.11× WORSE than unguided,docs/results/2026-09-02-bilinear-guide.md; -training.md,DEV 334 / sh 100 (regenerated 81934b49) / bezier 80,"phase3_bilinear_eval; dag_cost (#1117), mid-scan budget (#1118)",ratio of dag_cost of a TREE-objective extraction (pre-#1192),synthetic (structured family sh/bezier),n/a,UNITS INVALID,"First Guide result in DAG units: guidance of any kind is a net cost on trig-structured kernels at B<=200; extractor still tree-objective, so re-take under #1192. VERDICT CORRECTED 2026-09-08 (round 1): was FAILED, which this ledger defines as tested on a real shader and contradicted; this row's corpus is synthetic (sh/bezier) and its real_check is n/a, so FAILED was unavailable to it. VERDICT CORRECTED 2026-09-08 (round 2, per open-thread-decisions.md #2): UNITS INVALID, not NEVER TESTED ON REAL — the compared 1.09-1.11× deltas are dag_cost of TREE-objective extractions minted before #1192 (see metric_units), so the terms being compared no longer exist regardless of corpus reality. Its re-take is item 6 of the benchmark correction, which now carries a pre-committed bilinear-vs-linear head-to-head — the functional-form question this row is about."
L048,F. Phase 3 Round 1b / 2 / R2G / bilinear,Bilinear head-to-head training quality: DEV AUC 0.9558 vs additive 0.9451; PR-AUC 0.7624 vs 0.6837; within-expression AUC 0.9524 vs 0.9342,docs/results/2026-09-02-bilinear-guide-training.md; train-guide-bilinear-report.md,"re-minted strict labels v2: TRAIN 22,697 / DEV 6,838 candidates",train_guide_bilinear,AUC / PR-AUC,synthetic,cost at budget did not move (bilinear-guide.md),NEVER TESTED ON REAL,Intrinsic metric that did not transfer — the paper's 'three times' is now four.
L049,F. Phase 3 Round 1b / 2 / R2G / bilinear,"The sh 0.90 -> 1.10 crossing is L1 (#1117 dag_cost) alone; guided arms steer toward UNSHARED terms (tree/dag sharing 4.25 unguided vs 3.29 guided); no Guide has beaten unguided on trig kernels at B<=200, and a guided arm at 4B is still 1.11-1.13x",docs/results/2026-09-02-guided-regression-bisect.md,"sh 95+100, DEV 334, bezier 80 across 6 eras (A0..E)","phase3_bisect_eval, both cost shapes per checkpoint",ratio of tree and of dag cost,synthetic (structured family sh/bezier),n/a,HELD,Bit-for-bit reproduction of Round 1b (0 mismatches over 429x3x6). The load-bearing correction of the Guide programme.
L050,F. Phase 3 Round 1b / 2 / R2G / bilinear,Control-arm loader bug: 27 of 52 report rows resolve to no live rule and fall to 0.0 (bare names vs specialized labels),docs/results/2026-09-02-guided-regression-bisect.md §Bug,n/a,code,count,n/a,n/a,HELD,Bounded effect (sh 1.0994 vs 1.0987) but the bilinear eval's control arm was not the registered control arm.
L051,F. Phase 3 Round 1b / 2 / R2G / bilinear,"Oracle-filtered curves on DAG cost: rule-granularity filtering is indistinguishable from unguided (98/100 classical bit-identical at B=100; median delta 0.00 at every checkpoint); real regret is 29% at B=800 and 0 only at B=12,800",docs/results/2026-09-02-oracle-filtered-budget-curves.md,220 synthetic + 5 named shaders,"oracle_filtered_budget_curves on dag_cost, min-cost-checkpoint oracle","regret % of dag_cost (tree-objective extractor, pre-#1192)",synthetic,n/a,NEVER TESTED ON REAL,Finding strengthened under correction; the 09-01 9-point 'oracle benefit' was a tree artifact. Still never on a glyph/scene kernel.
L052,F. Phase 3 Round 1b / 2 / R2G / bilinear,"Bilinear Guide gradient-check failure on CI avx2+fma was a finite-difference step outside its error budget (floor 1.40x TOL), not an ISA divergence; SSE2 also fails locally",docs/results/2026-09-02-gradcheck-isa-postmortem.md,n/a,h-sweep across 6 configs,abs err,n/a,n/a,HELD,Instrument finding; §8 shows §3's H=1e-1 recommendation was itself wrong (ReLU kink at 8.2e-2). No training result invalidated.
L053,G. Real-kernel A/Bs (2026-09-01/02),"Production saturation is class-cap bound on real kernels: 132/193 ClassCap (68.4%), 49 Timeout, 12 Quiesced, 0 IterationCeiling; cell grid 0% loss; '@' gets ZERO rounds (12,056 nodes exceed the cap before a rewrite)",docs/results/2026-09-01-production-saturation-telemetry.md (#1087),"193 real: 3 cell-grid geometries + 190 glyph arenas (NotoSansMono, both densities)",production_saturation_telemetry (typed SaturationStop),counts (deterministic),real,"chrome scene later: cap at 4,913/5,000 after 2 iterations on the spliced input (production-scale §2)",HELD,"Stop reasons are typed and deterministic; the Timeout share is load-dependent (load 5-15). REGIME HISTORICAL 2026-09-08: these are the former 200 ms clock-limited figures. Under the production budget now shipped, docs/results/2026-09-07-corpus-structural-gaps.md reports 93% of 207 real kernels stopping at ClassCap with a median 5,422 applications, against the 68.4% and 8,446 quoted here. L069 already records that the wall clock is now only a fail-loud ceiling. The dependent 'registered B=100 is 85x below production' is 54x against that median (5422/100), not 85x."
